t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_C
512292,0.032,-0.133,0.990,-0.108,-0.117,0.284,25.20
512392,0.033,-0.133,1.000,-0.047,-0.117,0.345,25.14
512492,0.031,-0.136,0.992,-0.047,-0.056,0.345,25.11
512592,0.032,-0.135,0.993,-0.047,-0.056,0.406,25.15
512692,0.033,-0.135,1.000,-0.047,-0.117,0.345,25.14
512792,0.033,-0.133,0.989,-0.047,-0.056,0.406,25.17
512892,0.033,-0.135,0.998,-0.169,-0.117,0.345,25.11
512992,0.032,-0.135,0.989,-0.108,-0.117,0.345,25.15
513092,0.032,-0.134,0.990,-0.108,-0.117,0.345,25.12
513192,0.033,-0.135,0.992,-0.108,-0.117,0.345,25.15
513292,0.032,-0.135,0.991,-0.047,-0.056,0.345,25.17
513392,0.031,-0.134,0.991,-0.047,-0.117,0.345,25.17
513492,0.032,-0.132,0.991,-0.108,-0.056,0.345,25.15
513592,0.032,-0.135,0.992,-0.047,-0.117,0.345,25.20
513692,0.033,-0.133,0.992,-0.047,-0.056,0.345,25.23
513792,0.032,-0.133,0.992,-0.047,-0.056,0.345,25.20
513892,0.033,-0.136,0.992,-0.108,-0.056,0.345,25.21
513992,0.033,-0.135,0.993,-0.108,-0.056,0.345,25.23
514092,0.032,-0.134,0.993,-0.108,-0.117,0.345,25.18
514192,0.033,-0.132,0.993,0.014,-0.117,0.345,25.21
514292,0.032,-0.132,0.993,-0.047,-0.117,0.345,25.20
514392,0.032,-0.135,0.991,-0.169,-0.117,0.345,25.17
514492,0.032,-0.135,0.993,-0.108,-0.117,0.345,25.20
514592,0.032,-0.136,0.992,-0.108,-0.056,0.345,25.21
514692,0.032,-0.132,0.993,-0.047,-0.117,0.345,25.24
514792,0.032,-0.135,0.994,-0.169,-0.117,0.345,25.27
514892,0.032,-0.135,0.994,-0.108,-0.117,0.406,25.23
514992,0.032,-0.134,1.001,-0.047,-0.056,0.345,25.23
515092,0.033,-0.134,0.992,-0.047,-0.178,0.345,25.18
515192,0.033,-0.135,0.992,-0.047,-0.056,0.345,25.21
515292,0.032,-0.133,0.993,-0.047,-0.056,0.345,25.21
515392,0.032,-0.134,0.993,-0.169,-0.117,0.345,25.20
515492,0.032,-0.136,0.993,-0.108,-0.117,0.406,25.26
515592,0.033,-0.132,1.001,-0.108,-0.117,0.345,25.23
515692,0.031,-0.136,0.992,-0.108,-0.117,0.345,25.21
515792,0.032,-0.134,0.993,-0.108,-0.117,0.406,25.17
515892,0.030,-0.133,1.001,-0.047,-0.117,0.345,25.20
515992,0.032,-0.134,0.991,-0.047,-0.117,0.345,25.26
516092,0.033,-0.135,0.992,-0.108,-0.056,0.345,25.21
516192,0.032,-0.133,0.992,-0.108,-0.056,0.345,25.23
516292,0.032,-0.132,0.993,-0.047,-0.117,0.345,25.24
516392,0.032,-0.133,0.991,-0.047,-0.117,0.406,25.24
516492,0.032,-0.135,1.000,-0.047,-0.117,0.345,25.21
516592,0.032,-0.132,0.992,-0.108,-0.056,0.284,25.20
516692,0.032,-0.135,1.000,-0.108,-0.117,0.406,25.18
516792,0.031,-0.135,0.999,-0.108,-0.117,0.345,25.11
516892,0.033,-0.134,0.990,-0.108,-0.056,0.345,25.18
516992,0.032,-0.135,0.991,-0.047,-0.056,0.406,25.17
517092,0.032,-0.132,0.999,-0.108,-0.117,0.345,25.12
517192,0.032,-0.132,0.989,-0.047,-0.056,0.345,25.15
517292,0.032,-0.134,0.992,-0.108,-0.117,0.284,25.17
517392,0.032,-0.132,1.000,-0.047,-0.117,0.406,25.17
517492,0.033,-0.130,0.999,-0.047,-0.117,0.345,25.11
517592,0.032,-0.133,0.989,-0.047,-0.117,0.284,25.15
517692,0.031,-0.135,0.998,-0.108,-0.056,0.345,25.15
517792,0.032,-0.135,0.989,-0.047,-0.056,0.345,25.12
517892,0.032,-0.133,0.991,-0.047,-0.056,0.345,25.18
517992,0.033,-0.133,0.990,-0.108,-0.117,0.345,25.15
518092,0.032,-0.135,0.990,-0.047,-0.117,0.345,25.15
518192,0.031,-0.135,0.990,-0.108,-0.056,0.345,25.15
518292,0.033,-0.135,0.991,-0.047,-0.117,0.345,25.18
518392,0.033,-0.135,0.992,-0.047,-0.056,0.345,25.21
518492,0.031,-0.136,0.991,-0.047,-0.056,0.345,25.20
518592,0.033,-0.132,0.991,-0.047,-0.117,0.345,25.18
518692,0.032,-0.135,0.992,-0.047,-0.056,0.345,25.18
518792,0.032,-0.135,0.992,-0.108,-0.117,0.345,25.18
518892,0.031,-0.135,0.992,-0.047,-0.117,0.406,25.26
518992,0.032,-0.135,1.000,-0.047,-0.056,0.345,25.15
519092,0.031,-0.136,0.991,-0.108,-0.056,0.345,25.18
