time_s,ax_mss,ay_mss,az_mss,gx_rads,gy_rads,gz_rads
0.000000,0.045490,0.174777,9.852140,0.000533,-0.002131,0.004794
0.002000,0.050278,0.181959,9.854534,-0.001065,-0.001065,0.004794
0.003000,0.057461,0.174777,9.847351,-0.002663,-0.001598,0.005326
0.004000,0.055067,0.172383,9.849746,-0.003196,-0.001598,0.005326
0.005000,0.045490,0.167594,9.856928,-0.002663,-0.001598,0.005326
0.007000,0.045490,0.179565,9.849746,-0.001598,-0.001065,0.005326
0.008000,0.045490,0.179565,9.852140,-0.001598,-0.001065,0.005326
0.009000,0.050278,0.167594,9.861717,-0.001598,-0.001065,0.004794
0.010000,0.055067,0.165200,9.856928,-0.001598,-0.000533,0.004794
0.012000,0.050278,0.177171,9.847351,-0.001065,-0.001598,0.005326
0.013000,0.052672,0.169988,9.852140,-0.001598,-0.001065,0.004794
0.014000,0.055067,0.167594,9.854534,-0.001598,-0.001065,0.004261
0.015000,0.050278,0.165200,9.854534,-0.001598,-0.001065,0.003728
0.017000,0.043096,0.165200,9.856928,-0.001598,-0.000533,0.005859
0.018000,0.038307,0.165200,9.854534,-0.002131,-0.000533,0.005859
0.019000,0.043096,0.174777,9.849746,-0.002663,-0.000533,0.004794
0.020000,0.047884,0.179565,9.854534,-0.002131,-0.001065,0.004794
0.022000,0.052672,0.167594,9.861717,-0.001598,0.000000,0.005859
0.023000,0.055067,0.169988,9.859322,-0.001598,0.000000,0.005859
0.024000,0.047884,0.167594,9.859322,-0.002131,-0.001065,0.005326
0.025000,0.038307,0.155623,9.856928,-0.002131,-0.001065,0.004794
0.027000,0.038307,0.155623,9.856928,-0.002131,-0.000533,0.005326
0.028000,0.035913,0.165200,9.854534,-0.002131,-0.001065,0.005326
0.029000,0.038307,0.172383,9.840169,-0.002131,-0.000533,0.004261
0.030000,0.043096,0.177171,9.844957,-0.001598,-0.000533,0.004261
0.032000,0.038307,0.169988,9.866505,-0.002131,-0.001065,0.005326
0.033000,0.028730,0.174777,9.866505,-0.002131,-0.000533,0.005859
0.034000,0.026336,0.179565,9.859322,-0.002131,-0.000533,0.005859
0.035000,0.033519,0.179565,9.844957,-0.002131,-0.001598,0.005326
0.037000,0.050278,0.167594,9.852140,-0.001598,-0.001065,0.005859
0.038000,0.040701,0.158017,9.859322,-0.001598,-0.000533,0.005859
0.039000,0.040701,0.165200,9.852140,-0.001065,-0.000533,0.004794
0.040000,0.040701,0.177171,9.849746,-0.001598,-0.001065,0.005326
0.042000,0.033519,0.186748,9.864111,-0.001065,0.000000,0.005326
0.043000,0.033519,0.186748,9.861717,-0.000533,-0.000533,0.005326
0.044000,0.033519,0.177171,9.859322,-0.001065,-0.001065,0.004794
0.045000,0.035913,0.179565,9.852140,-0.001598,-0.000533,0.005326
0.047000,0.023942,0.181959,9.842563,-0.001598,-0.000533,0.004794
0.048000,0.033519,0.186748,9.840169,-0.001598,-0.001598,0.004794
0.049000,0.045490,0.189142,9.847351,-0.001598,-0.002131,0.005326
0.050000,0.040701,0.186748,9.847351,-0.001065,-0.001598,0.005326
0.052000,0.045490,0.186748,9.849746,-0.002131,-0.001065,0.004261
0.053000,0.045490,0.181959,9.847351,-0.002131,-0.000533,0.004794
